owner_repo,nom,role,pourquoi,capacites,forme_execution,etoiles,dernier_commit,licence,archive,verdict_phase1,verifiable
xalgorix/xalgorix,Xalgorix,concurrent,agent ou plateforme qui fait le même travail que nous,,,932,2026-08-27,Apache-2.0,,A_NOTER,oui
Threadlinee/AI-Powered,AI-Powered Autonomous Penetration Testing Agent,concurrent,agent ou plateforme qui fait le même travail que nous,,,8,2025-07-13,MIT,,A_NOTER,oui
shannonai/shannon,Shannon,doc,"liste, tutoriel ou spécification",,,,,,,A_NOTER,non
anthropics/codeguard,Project CodeGuard,doc,"liste, tutoriel ou spécification",,,,,,,A_NOTER,non
opensoar-hq/opensoar-core,OpenSOAR,inutile,aucun rôle identifié pour notre projet,,,18,2026-07-17,Apache-2.0,,A_NOTER,oui
Admyral-Security/admyral,Admyral,inutile,aucun rôle identifié pour notre projet,,,340,2024-11-22,Apache-2.0,,A_NOTER,oui
Sorsnce/Open-SOAR,Open-SOAR (Sorsnce),inutile,aucun rôle identifié pour notre projet,,,8,2021-05-20,,,A_NOTER,oui
StackStorm/st2,StackStorm,inutile,aucun rôle identifié pour notre projet,,,6527,2026-08-22,Apache-2.0,,ADAPT (archi),oui
SigmaHQ/sigma,Sigma,provider,outil qui produit des résultats exploitables,DETECTION_RULES,cli,10948,2026-08-18,,,A_NOTER,oui
VirusTotal/yara,YARA,inutile,aucun rôle identifié pour notre projet,,,9833,2026-08-25,BSD-3-Clause,,A_NOTER,oui
fail2ban/fail2ban,Fail2Ban,inutile,aucun rôle identifié pour notre projet,,,18483,2026-08-26,,,A_NOTER,oui
crowdsecurity/crowdsec,CrowdSec,inutile,aucun rôle identifié pour notre projet,,,14657,2026-08-26,MIT,,A_NOTER,oui
arkime/arkime,Arkime (anciennement Moloch),inutile,aucun rôle identifié pour notre projet,,,7459,2026-08-26,Apache-2.0,,A_NOTER,oui
mitre-attack/attack-navigator,MITRE ATT&CK Navigator,inutile,aucun rôle identifié pour notre projet,,,2448,2026-06-12,Apache-2.0,,A_NOTER,oui
laramies/theHarvester,theHarvester,provider,outil qui produit des résultats exploitables,THREAT_INTEL,cli,17211,2026-08-27,,,A_NOTER,oui
lanmaster53/recon-ng,Recon-ng,provider,outil qui produit des résultats exploitables,THREAT_INTEL,cli,5873,2024-11-01,GPL-3.0,,A_NOTER,oui
achillean/shodan-python,Shodan (Python client),lib,"bibliothèque, pas un outil exécutable",,,2951,2023-12-17,,,A_NOTER,oui
owasp-amass/amass,Amass (OWASP),provider,outil qui produit des résultats exploitables,,cli,15049,2026-04-07,Apache,,A_NOTER,oui
,Maltego (CE),inutile,aucun rôle identifié pour notre projet,,,,,,,A_NOTER,non
nmap/nmap,Nmap,provider,outil qui produit des résultats exploitables,DEPENDENCY_ANALYSIS | NETWORK_DISCOVERY,cli,13469,2026-08-27,,,A_NOTER,oui
sqlmapproject/sqlmap,SQLMap,inutile,aucun rôle identifié pour notre projet,,,38279,2026-08-26,,,A_NOTER,oui
stevenaldinger/decker,Decker,inutile,aucun rôle identifié pour notre projet,,,296,2019-03-23,MPL-2.0,,A_NOTER,oui
GoVanguard/legion,Legion,provider,outil qui produit des résultats exploitables,DEPENDENCY_ANALYSIS,cli,1057,2024-10-23,GPL-3.0,yes,A_NOTER,oui
reconmap/reconmap,Reconmap,provider,outil qui produit des résultats exploitables,NETWORK_DISCOVERY,cli,975,2026-08-20,Apache-2.0,,A_NOTER,oui
owtf/owtf,OWTF (OWASP),doc,"liste, tutoriel ou spécification",,,1950,2026-08-22,BSD-3-Clause,,A_NOTER,oui
1N3/Sn1per,Sn1per,provider,outil qui produit des résultats exploitables,,cli,11092,2026-07-04,,,A_NOTER,oui
NullArray/AutoSploit,AutoSploit,provider,outil qui produit des résultats exploitables,EXPLOITATION,api,5253,2020-03-30,GPL-3.0,,A_NOTER,oui
,Burp Suite (Extensions),inutile,aucun rôle identifié pour notre projet,,,,,,,A_NOTER,non
sullo/nikto,Nikto,provider,outil qui produit des résultats exploitables,DEPENDENCY_ANALYSIS | WEB_VULN_SCAN,api,10688,2026-08-15,,,A_NOTER,oui
OJ/gobuster,Gobuster,provider,outil qui produit des résultats exploitables,,cli,14043,2026-01-13,Apache-2.0,,A_NOTER,oui
ffuf/ffuf,ffuf,provider,outil qui produit des résultats exploitables,WEB_ENDPOINT_DISCOVERY,cli,16597,2026-08-20,MIT,,A_NOTER,oui
hashcat/hashcat,Hashcat,inutile,aucun rôle identifié pour notre projet,,,26635,2026-08-27,MIT,,A_NOTER,oui
mitre/caldera,Caldera (MITRE),inutile,aucun rôle identifié pour notre projet,,,7215,2026-08-27,Apache-2.0,,A_NOTER,oui
redcanaryco/atomic-red-team,Atomic Red Team,lib,"bibliothèque, pas un outil exécutable",,,12459,2026-08-24,MIT,,A_NOTER,oui
future-architect/vuls,Vuls,provider,outil qui produit des résultats exploitables,DEPENDENCY_ANALYSIS,cli,12244,2026-08-27,GPL-3.0,,A_NOTER,oui
greenbone/openvas-scanner,GVM / OpenVAS,provider,outil qui produit des résultats exploitables,DEPENDENCY_ANALYSIS,cli,4797,2026-08-26,GPL-2.0,,A_NOTER,oui
google/osv.dev,OSV (Google),inutile,aucun rôle identifié pour notre projet,,,2902,2026-08-27,Apache-2.0,,A_NOTER,oui
aquasecurity/kube-bench,kube-bench (Aqua Security),doc,"liste, tutoriel ou spécification",,,8157,2026-08-18,Apache-2.0,,A_NOTER,oui
aquasecurity/kube-hunter,kube-hunter (Aqua Security),inutile,aucun rôle identifié pour notre projet,,,5080,2024-03-19,Apache-2.0,,A_NOTER,oui
kubescape/kubescape,Kubescape (ARMO),provider,outil qui produit des résultats exploitables,DEPENDENCY_ANALYSIS | CLOUD_POSTURE | MALWARE_ANALYSIS,cli,11693,2026-08-27,Apache-2.0,,A_NOTER,oui
aquasecurity/cloudsploit,CloudSploit (Aqua),provider,outil qui produit des résultats exploitables,CLOUD_POSTURE,cli,3768,2026-07-28,GPL-3.0,,A_NOTER,oui
turbot/steampipe,Steampipe,inutile,aucun rôle identifié pour notre projet,,,7935,2026-08-18,AGPL-3.0,,A_NOTER,oui
lyft/cartography,Cartography (Lyft),inutile,aucun rôle identifié pour notre projet,,,4028,2026-08-26,Apache-2.0,,A_NOTER,oui
SonarSource/sonarqube,SonarQube (Community),inutile,aucun rôle identifié pour notre projet,,,10932,2026-08-26,LGPL-3.0,,A_NOTER,oui
PyCQA/bandit,Bandit,provider,outil qui produit des résultats exploitables,CODE_STATIC_ANALYSIS,cli,8242,2026-08-04,Apache-2.0,,A_NOTER,oui
Bearer/bearer,Bearer,provider,outil qui produit des résultats exploitables,CODE_STATIC_ANALYSIS,cli,2739,2026-08-24,,,A_NOTER,oui
anchore/grype,Grype (Anchore),provider,outil qui produit des résultats exploitables,DEPENDENCY_ANALYSIS | CONTAINER_SCAN,cli,12791,2026-08-27,Apache-2.0,,A_NOTER,oui
anchore/syft,Syft (Anchore),inutile,aucun rôle identifié pour notre projet,,,9465,2026-08-27,Apache-2.0,,A_NOTER,oui
dfir-iris/iris-web,DFIR-IRIS,inutile,aucun rôle identifié pour notre projet,,,1549,2025-02-27,LGPL-3.0,,A_NOTER,oui
google/grr,GRR Rapid Response (Google),inutile,aucun rôle identifié pour notre projet,,,5088,2026-05-12,Apache-2.0,,A_NOTER,oui
volatilityfoundation/volatility3,Volatility,inutile,aucun rôle identifié pour notre projet,,,4357,2026-08-19,,,A_NOTER,oui
VirusTotal/yara-x,YARA-X,inutile,aucun rôle identifié pour notre projet,,,1261,2026-08-27,BSD-3-Clause,,A_NOTER,oui
NationalSecurityAgency/ghidra,Ghidra (NSA),inutile,aucun rôle identifié pour notre projet,,,72949,2026-08-25,Apache-2.0,,A_NOTER,oui
radareorg/radare2,Radare2,inutile,aucun rôle identifié pour notre projet,,,24658,2026-08-27,,,A_NOTER,oui
grafana/grafana,Grafana,composant,"brique de plateforme (policy, sandbox, gateway, registre)",,,76451,2026-08-27,AGPL-3.0,,A_NOTER,oui
opensearch-project/OpenSearch-Dashboards,Kibana / OpenSearch Dashboards,inutile,aucun rôle identifié pour notre projet,,,2115,2026-08-27,Apache-2.0,,A_NOTER,oui
,SOC Prime / Agentic SOC Platforms,concurrent,agent ou plateforme qui fait le même travail que nous,,,,,,,A_NOTER,non
malwarekid/SOAR-Flow,SOAR-Flow,inutile,aucun rôle identifié pour notre projet,,,138,2025-02-21,MIT,,A_NOTER,oui
modelcontextprotocol/modelcontextprotocol,MCP Protocol (Anthropic),doc,"liste, tutoriel ou spécification",,,9066,2026-08-26,MIT,,A_NOTER,oui
jlowin/fastmcp,FastMCP,provider,serveur ou agrégateur MCP,,mcp_server,27406,2026-08-27,Apache-2.0,,INTEGRATE,oui
pomerium/pomerium,Pomerium,composant,"brique de plateforme (policy, sandbox, gateway, registre)",,,4979,2026-08-25,Apache-2.0,,A_NOTER,oui
langchain-ai/langchain,LangChain,inutile,aucun rôle identifié pour notre projet,,,145131,2026-08-27,MIT,,A_NOTER,oui
openai/openai-agents-python,OpenAI Agents SDK,concurrent,agent ou plateforme qui fait le même travail que nous,,,29010,2026-08-27,MIT,,A_NOTER,oui
temporalio/temporal,Temporal,composant,"brique de plateforme (policy, sandbox, gateway, registre)",,,22564,2026-08-27,MIT,,INTEGRATE,oui
PrefectHQ/prefect,Prefect,inutile,aucun rôle identifié pour notre projet,,,23698,2026-08-27,Apache-2.0,,A_NOTER,oui
moby/moby,Docker / Podman,composant,"brique de plateforme (policy, sandbox, gateway, registre)",,,72001,2026-08-27,Apache-2.0,,A_NOTER,oui
google/gvisor,gVisor (Google),composant,"brique de plateforme (policy, sandbox, gateway, registre)",,,19171,2026-08-27,Apache-2.0,,INTEGRATE,oui
kata-containers/kata-containers,Kata Containers,composant,"brique de plateforme (policy, sandbox, gateway, registre)",,,8612,2026-08-27,Apache-2.0,,A_NOTER,oui
kyverno/kyverno,Kyverno,composant,"brique de plateforme (policy, sandbox, gateway, registre)",,,8076,2026-08-27,Apache-2.0,,A_NOTER,oui
hashicorp/vault,HashiCorp Vault,composant,"brique de plateforme (policy, sandbox, gateway, registre)",,,36180,2026-08-27,,,A_NOTER,oui
keycloak/keycloak,Keycloak,inutile,aucun rôle identifié pour notre projet,,,36450,2026-08-27,Apache-2.0,,A_NOTER,oui
enaqx/awesome-pentest,Awesome Pentest,doc,"liste, tutoriel ou spécification",,,27027,2026-07-25,,,A_NOTER,oui
,Awesome Cybersecurity Agentic AI,doc,"liste, tutoriel ou spécification",,,,,,,A_NOTER,non
cyberguideme/Tools,Cyber Security Tools List (cyberguideme),doc,"liste, tutoriel ou spécification",,,436,2019-02-25,GPL-3.0,,A_NOTER,oui
,SOC Knowledge Base,doc,"liste, tutoriel ou spécification",,,,,,,A_NOTER,non
guardicore/monkey,Infection Monkey (Guardicore),inutile,aucun rôle identifié pour notre projet,,,7076,2025-02-28,GPL-3.0,,A_NOTER,oui
BishopFox/sliver,Sliver,inutile,aucun rôle identifié pour notre projet,,,11731,2026-08-26,GPL-3.0,,A_NOTER,oui
HavocFramework/Havoc,Havoc,inutile,aucun rôle identifié pour notre projet,,,8506,2025-12-18,GPL-3.0,yes,A_NOTER,oui
its-a-feature/Mythic,Mythic,inutile,aucun rôle identifié pour notre projet,,,4727,2026-07-16,,,A_NOTER,oui
CyberCX-STA/PurpleOps,Purple Knight / PurpleOps,inutile,aucun rôle identifié pour notre projet,,,313,2026-07-06,,,A_NOTER,oui
elastic/detection-rules,Elastic Security (Detection Rules),provider,outil qui produit des résultats exploitables,DETECTION_RULES,cli,2695,2026-08-27,,,A_NOTER,oui
splunk/security_content,Splunk Security Content,provider,outil qui produit des résultats exploitables,DETECTION_RULES,cli,1679,2026-08-26,Apache-2.0,,A_NOTER,oui
osquery/osquery,Osquery,inutile,aucun rôle identifié pour notre projet,,,23525,2026-08-25,Apache-2.0,,A_NOTER,oui
activecm/rita,RITA,inutile,aucun rôle identifié pour notre projet,,,629,2026-06-17,GPL-3.0,,A_NOTER,oui
AlienVault-OTX/OTX-Python-SDK,OTX DirectConnect,inutile,aucun rôle identifié pour notre projet,,,402,2021-04-02,,,A_NOTER,oui
abusech/URLhaus,"Abuse.ch (URLhaus, MalBazaar, ThreatFox)",inutile,aucun rôle identifié pour notre projet,,,70,2024-11-09,,,A_NOTER,oui
,AI Agent Runtime Security (from topic mcp-security),concurrent,agent ou plateforme qui fait le même travail que nous,,,,,,,A_NOTER,non
guardrails-ai/guardrails,Guardrails AI,inutile,aucun rôle identifié pour notre projet,,,7325,2026-08-26,Apache-2.0,,A_NOTER,oui
protectai/llm-guard,LLM Guard,inutile,aucun rôle identifié pour notre projet,,,3204,2026-07-08,MIT,yes,A_NOTER,oui
protectai/rebuff,Rebuff,provider,outil qui produit des résultats exploitables,,cli,1521,2024-01-25,Apache-2.0,yes,A_NOTER,oui
,OWASP LLM Top 10 Vulnerable App,inutile,aucun rôle identifié pour notre projet,,,,,,,A_NOTER,non
,Dastardly (PortSwigger),provider,outil qui produit des résultats exploitables,WEB_VULN_SCAN,cli,,,,,A_NOTER,non
Checkmarx/kics,KICS (Checkmarx),provider,outil qui produit des résultats exploitables,DEPENDENCY_ANALYSIS | IAC_SCAN,cli,2695,2026-08-25,Apache-2.0,,A_NOTER,oui
aquasecurity/tfsec,tfsec,provider,outil qui produit des résultats exploitables,DEPENDENCY_ANALYSIS | IAC_SCAN,cli,7035,2025-05-02,MIT,,A_NOTER,oui
,ProjectDiscovery (Suite),provider,outil qui produit des résultats exploitables,DEPENDENCY_ANALYSIS,cli,,,,,A_NOTER,non
shadow1ng/fscan,Fscan,provider,outil qui produit des résultats exploitables,DEPENDENCY_ANALYSIS | NETWORK_DISCOVERY,cli,14460,2026-08-25,MIT,,A_NOTER,oui
RustScan/RustScan,RustScan,provider,outil qui produit des résultats exploitables,DEPENDENCY_ANALYSIS | NETWORK_DISCOVERY,api,20334,2026-06-10,GPL-3.0,,A_NOTER,oui
,Caido,inutile,aucun rôle identifié pour notre projet,,,,,,,A_NOTER,non
OAI/OpenAPI-Specification,OpenAPI / Swagger,doc,"liste, tutoriel ou spécification",,,31187,2026-08-20,Apache-2.0,,A_NOTER,oui
oasis-open/cti-stix2-json-schemas,STIX/TAXII,doc,"liste, tutoriel ou spécification",,,144,2026-01-19,BSD-3-Clause,,A_NOTER,oui
,CACAO (OASIS),doc,"liste, tutoriel ou spécification",,,,,,,A_NOTER,non
,OpenC2,doc,"liste, tutoriel ou spécification",,,,,,,A_NOTER,non
opensearch-project/OpenSearch,Elasticsearch / OpenSearch,inutile,aucun rôle identifié pour notre projet,,,13586,2026-08-27,Apache-2.0,,A_NOTER,oui
neo4j/neo4j,Neo4j,inutile,aucun rôle identifié pour notre projet,,,17147,2026-08-05,GPL-3.0,,A_NOTER,oui
ClickHouse/ClickHouse,ClickHouse,inutile,aucun rôle identifié pour notre projet,,,49484,2026-08-27,Apache-2.0,,A_NOTER,oui
FuzzingLabs/secpipe,SecPipe / FuzzForge AI,composant,"brique de plateforme (policy, sandbox, gateway, registre)",,,,,,,A_NOTER,non
securityfortech/secops-mcp,secops-mcp,provider,serveur ou agrégateur MCP,DEPENDENCY_ANALYSIS,mcp_server,207,2025-09-17,MIT,,A_NOTER,oui
j3ssie/osmedeus,Osmedeus,composant,"brique de plateforme (policy, sandbox, gateway, registre)",,,6539,2026-08-08,MIT,,A_NOTER,oui
six2dez/reconftw,reconFTW,provider,outil qui produit des résultats exploitables,,cli,8027,2026-06-29,MIT,,A_NOTER,oui
AutoRecon/AutoRecon,AutoRecon,provider,outil qui produit des résultats exploitables,NETWORK_DISCOVERY,api,6093,2025-11-16,GPL-3.0,,A_NOTER,oui
pry0cc/axiom,axiom,provider,outil qui produit des résultats exploitables,DEPENDENCY_ANALYSIS | CLOUD_POSTURE | NETWORK_DISCOVERY | WEB_ENDPOINT_DISCOVERY | WEB_VULN_SCAN,cli,4415,2024-09-30,MIT,,A_NOTER,oui
GH05TCREW/MetasploitMCP,MetasploitMCP / wrappers MCP unitaires,provider,serveur ou agrégateur MCP,EXPLOITATION,mcp_server,719,2026-02-05,Apache-2.0,,A_NOTER,oui
apache/caldera,MITRE Caldera (apache/caldera),inutile,aucun rôle identifié pour notre projet,,,7215,2026-08-27,Apache-2.0,,A_NOTER,oui
infosecn1nja/Red-Teaming-Toolkit,Red-Teaming-Toolkit / Awesome-Red-Teaming (listes),doc,"liste, tutoriel ou spécification",,,10656,2026-05-07,GPL-3.0,,A_NOTER,oui
aliasrobotics/cai,CAI (Cybersecurity AI),concurrent,agent ou plateforme qui fait le même travail que nous,,,9808,2026-08-22,MIT,yes,ADAPT (archi),oui
PurpleAILAB/Decepticon,Decepticon,doc,"liste, tutoriel ou spécification",,,5343,2026-08-26,Apache-2.0,,ADAPT (archi),oui
bugbasesecurity/pentest-copilot,Pentest Copilot,concurrent,agent ou plateforme qui fait le même travail que nous,,,1329,2026-08-14,MIT,,A_NOTER,oui
Vasco0x4/AIDA,AIDA,concurrent,agent ou plateforme qui fait le même travail que nous,,,480,2026-07-19,AGPL-3.0,,A_NOTER,oui
ASCIT31/Dark-Moon,Dark-Moon (Darkmoon),concurrent,agent ou plateforme qui fait le même travail que nous,,,875,2026-08-25,GPL-3.0,,A_NOTER,oui
Stanford-Trinity/ARTEMIS,ARTEMIS (Stanford Trinity),concurrent,agent ou plateforme qui fait le même travail que nous,,,535,2026-01-01,Apache-2.0,,A_NOTER,oui
ipa-lab/hackingBuddyGPT,hackingBuddyGPT,doc,"liste, tutoriel ou spécification",,,1224,2026-08-21,MIT,,A_NOTER,oui
berylliumsec/nebula,Nebula,concurrent,agent ou plateforme qui fait le même travail que nous,,,1093,2026-08-27,BSD-2-Clause,,A_NOTER,oui
NoDataFound/hackGPT,hackGPT,concurrent,agent ou plateforme qui fait le même travail que nous,,,1202,2026-08-12,,,A_NOTER,oui
,Autres agents IA identifiés (2e cercle),concurrent,agent ou plateforme qui fait le même travail que nous,,,,,,,A_NOTER,non
Vigil-SOC/vigil,Vigil (Vigil-SOC),concurrent,agent ou plateforme qui fait le même travail que nous,,,264,2026-08-27,,,A_NOTER,oui
ugurrates/Blue-Team-Assistant,CABTA (Blue Team Assistant),concurrent,agent ou plateforme qui fait le même travail que nous,,,76,2026-07-27,MIT,,A_NOTER,oui
mukul975/cve-mcp-server,CVE MCP Server,composant,"brique de plateforme (policy, sandbox, gateway, registre)",,,1167,2026-06-22,Apache-2.0,,A_NOTER,oui
not2cleverdotme/blue-team-mcp,blue-team-mcp,provider,serveur ou agrégateur MCP,,mcp_server,0,2026-03-15,MIT,,A_NOTER,oui
deadbits/vigil-llm,Vigil-LLM (homonyme à ne pas confondre),provider,outil qui produit des résultats exploitables,DEPENDENCY_ANALYSIS,cli,496,2024-01-31,Apache-2.0,,A_NOTER,oui
metatool-ai/metamcp,MetaMCP,composant,"brique de plateforme (policy, sandbox, gateway, registre)",,,2630,2026-06-22,MIT,,IGNORE,oui
samanhappy/mcphub,MCPHub,provider,serveur ou agrégateur MCP,ENDPOINT_COLLECTION,mcp_server,2337,2026-08-26,Apache-2.0,,A_NOTER,oui
mcpjungle/MCPJungle,MCPJungle,composant,"brique de plateforme (policy, sandbox, gateway, registre)",,,1230,2026-08-02,MPL-2.0,,ADAPT,oui
wojtyniak/mcp-mcp,mcp-mcp (wojtyniak),doc,"liste, tutoriel ou spécification",,,23,2026-06-26,MIT,,A_NOTER,oui
pathintegral-institute/mcpm.sh,mcpm.sh,composant,"brique de plateforme (policy, sandbox, gateway, registre)",,,992,2026-05-22,MIT,,A_NOTER,oui
open-webui/mcpo,mcpo,composant,"brique de plateforme (policy, sandbox, gateway, registre)",,,4357,2026-02-27,MIT,,A_NOTER,oui
AgentSeal/awesome-mcp-security,Security-scored MCP lists,doc,"liste, tutoriel ou spécification",,,28,2026-03-14,,,A_NOTER,oui
,MCP servers sécurité divers (petits),provider,serveur ou agrégateur MCP,NETWORK_DISCOVERY | EXPLOITATION,mcp_server,,,,,A_NOTER,non
modelcontextprotocol/registry,Official MCP Registry,composant,"brique de plateforme (policy, sandbox, gateway, registre)",,,7194,2026-08-20,,,ADAPT (archi),oui
maximhq/bifrost,Bifrost (Maxim),composant,"brique de plateforme (policy, sandbox, gateway, registre)",,,7599,2026-08-27,Apache-2.0,,A_NOTER,oui
obot-platform/obot,Obot,provider,serveur ou agrégateur MCP,,mcp_server,962,2026-08-27,MIT,,A_NOTER,oui
datacline/secure-mcp-gateway,Other gateways (contexte),composant,"brique de plateforme (policy, sandbox, gateway, registre)",,,32,2026-05-13,MIT,,A_NOTER,oui
lockfale/OSINT-Framework,OSINT-Framework / autres listes OSINT,doc,"liste, tutoriel ou spécification",,,12016,2026-04-03,MIT,,A_NOTER,oui
kpcyrd/sn0int,sn0int,composant,"brique de plateforme (policy, sandbox, gateway, registre)",,,2516,2025-01-31,GPL-3.0,,A_NOTER,oui
4ndersonLin/awesome-cloud-security,Nuages : à compléter au propre,doc,"liste, tutoriel ou spécification",,,2483,2026-03-17,,,A_NOTER,oui
meirwah/awesome-incident-response,meirwah/awesome-incident-response,doc,"liste, tutoriel ou spécification",,,9353,2026-07-15,Apache-2.0,,A_NOTER,oui
,(croisé avec 🔵🟠🟡),concurrent,agent ou plateforme qui fait le même travail que nous,,,,,,,A_NOTER,non
mthcht/awesome-lists,Méta-listes et index majeurs,doc,"liste, tutoriel ou spécification",,,1892,2026-08-27,MIT,,A_NOTER,oui
