owner_repo,nom,statut,niveau,motif,categorie,importance,licence_connue,url_resolue,section
securitytoolkit/securitytoolkit.github.io,Security Toolkit,TRIAGE-MINIMAL,triage minimal,71 étoiles; dernier commit 2026-07-09; licence inconnue,Security Tools Directory,🟡 Moyenne,non,oui,🟤 Threat Intelligence / OSINT
VoidAccess/VoidAccess,VoidAccess,N/A,non applicable,licence inconnue; repo non exploitable (404-introuvable),Dark Web Threat Intelligence,🟡 Moyenne,non,non,🟤 Threat Intelligence / OSINT
sa7mon/S3Scanner,S3Scanner,TRIAGE-MINIMAL,triage minimal,3165 étoiles; dernier commit 2026-07-14; licence MIT,Cloud Storage Security,🟡 Moyenne,oui,oui,🟤 Threat Intelligence / OSINT
secureCodeBox/secureCodeBox,secureCodeBox,SHORTLIST,analyse approfondie,986 étoiles; dernier commit 2026-08-25; licence Apache,SAST / Continuous Security,⭐ Haute (normalisation + orchestration K8s-native),oui,oui,🟤 Threat Intelligence / OSINT
MobSF/Mobile-Security-Framework-MobSF,MobSF,TRIAGE-MINIMAL,triage minimal,21657 étoiles; dernier commit 2026-08-21; licence GPL-3.0,Mobile Security Framework,🟡 Moyenne,oui,oui,🟤 Threat Intelligence / OSINT
cuckoosandbox/cuckoo,Cuckoo Sandbox,SHORTLIST,analyse approfondie,5965 étoiles; inactif depuis 65 mois; archivé; licence inconnue,Malware Analysis System,⭐ Haute,non,oui,🟤 Threat Intelligence / OSINT
REMnux/REMnux,REMnux,TRIAGE-MINIMAL,triage minimal,120 étoiles; dernier commit 2026-08-18; licence inconnue,Malware Analysis Toolkit,🟡 Moyenne,non,oui,🟤 Threat Intelligence / OSINT
mandiant/flare-vm,FlareVM,TRIAGE-MINIMAL,triage minimal,8968 étoiles; dernier commit 2026-06-23; licence Apache-2.0,Malware Analysis Distribution,🟡 Moyenne,oui,oui,🟤 Threat Intelligence / OSINT
Neo23x0/Loki,LOKI,TRIAGE-MINIMAL,triage minimal,3784 étoiles; dernier commit 2026-01-09; licence GPL-3.0,IOC Scanner,🟡 Moyenne,oui,oui,🟤 Threat Intelligence / OSINT
Cisco-Talos/clamav,ClamAV,TRIAGE-MINIMAL,triage minimal,7177 étoiles; dernier commit 2026-08-19; licence GPL-2.0,Antivirus Engine,🟡 Moyenne,oui,oui,🟤 Threat Intelligence / OSINT
dfir-db/fastfinder,Fastfinder,N/A,non applicable,licence inconnue; repo non exploitable (404-introuvable),Suspicious File Finder,⚪ Faible,non,non,🟤 Threat Intelligence / OSINT
rfxn/linux-malware-detect,Linux Malware Detect,TRIAGE-MINIMAL,triage minimal,1490 étoiles; dernier commit 2026-04-26; licence GPL-2.0,Malware Scanner,⚪ Faible,oui,oui,🟤 Threat Intelligence / OSINT
jtkl/rkhunter,rkhunter,N/A,non applicable,licence inconnue; repo non exploitable (404-introuvable),Rootkit Detector,⚪ Faible,non,non,🟤 Threat Intelligence / OSINT
agentic-community/mcp-gateway-registry,MCP Gateway & Registry (agentic-community),SHORTLIST,analyse approfondie,880 étoiles; dernier commit 2026-08-27; licence Apache-2.0,MCP Gateway / Registry,⭐ Haute,oui,oui,🟤 Threat Intelligence / OSINT
microsoft/mcp-gateway,MCP Gateway (Microsoft),TRIAGE-HAUTE,triage obligatoire,801 étoiles; dernier commit 2026-08-25; licence MIT,MCP Gateway,⭐ Haute,oui,oui,🟤 Threat Intelligence / OSINT
aarora79/mcp-gateway,MCP Gateway (aarora79),TRIAGE-MINIMAL,triage minimal,81 étoiles; dernier commit 2025-10-17; archivé; licence MIT-0,MCP Gateway / Registry,🟡 Moyenne,oui,oui,🟤 Threat Intelligence / OSINT
jrmatherly/mcp-registry-gateway,MCP Registry Gateway (jrmatherly),TRIAGE-MINIMAL,triage minimal,dernier commit 2026-01-26; licence Apache-2.0,MCP Gateway / Registry,🟡 Moyenne,oui,oui,🟤 Threat Intelligence / OSINT
MikkoParkkola/mcp-gateway,Universal MCP Gateway (MikkoParkkola),TRIAGE-HAUTE,triage obligatoire,56 étoiles; dernier commit 2026-08-18; licence MIT,MCP Gateway / Meta-MCP,⭐ Haute,oui,oui,🟤 Threat Intelligence / OSINT
docker/mcp-gateway,Docker MCP Gateway,TRIAGE-MINIMAL,triage minimal,1545 étoiles; dernier commit 2026-08-26; licence MIT,MCP Gateway,🟡 Moyenne,oui,oui,🟤 Threat Intelligence / OSINT
lasso-security/mcp-gateway,Lasso MCP Gateway,TRIAGE-MINIMAL,triage minimal,385 étoiles; dernier commit 2026-01-22; licence MIT,MCP Gateway,🟡 Moyenne,oui,oui,🟤 Threat Intelligence / OSINT
IBM/mcp-context-forge,IBM ContextForge,SHORTLIST,analyse approfondie,4376 étoiles; dernier commit 2026-08-27; licence Apache-2.0,MCP Gateway / Registry / Proxy,⭐ Haute,oui,oui,🟤 Threat Intelligence / OSINT
agentgateway/agentgateway,Solo.io AgentGateway,SHORTLIST,analyse approfondie,4584 étoiles; dernier commit 2026-08-27; licence Apache-2.0,MCP Gateway,⭐ Haute,oui,oui,🟤 Threat Intelligence / OSINT
envoyproxy/ai-gateway,Envoy AI Gateway,TRIAGE-MINIMAL,triage minimal,1965 étoiles; dernier commit 2026-08-26; licence Apache-2.0,AI Gateway,🟡 Moyenne,oui,oui,🟤 Threat Intelligence / OSINT
cisco-ai-defense/mcp-scanner,MCP Scanner (Cisco),SHORTLIST,analyse approfondie,1051 étoiles; dernier commit 2026-08-17; licence Apache-2.0,MCP Security Scanner,⭐ Haute,oui,oui,🟤 Threat Intelligence / OSINT
riseandignite/mcp-shield,MCP-Shield,TRIAGE-MINIMAL,triage minimal,554 étoiles; dernier commit 2025-04-26; licence MIT,MCP Security Scanner,🟡 Moyenne,oui,oui,🟤 Threat Intelligence / OSINT
invariantlabs-ai/mcp-scan,mcp-scan (Snyk/Invariant Labs),SHORTLIST,analyse approfondie,2964 étoiles; dernier commit 2026-08-26; licence Apache-2.0,MCP Security Scanner,⭐ Haute,oui,oui,🟤 Threat Intelligence / OSINT
stacklok/toolhive,ToolHive,SHORTLIST,analyse approfondie,2047 étoiles; dernier commit 2026-08-27; licence Apache-2.0,MCP Server Manager,⭐ Haute,oui,oui,🟤 Threat Intelligence / OSINT
MCP-Manager/MCP-Checklists,MCP Checklists,TRIAGE-MINIMAL,triage minimal,195 étoiles; dernier commit 2025-10-23; licence AGPL-3.0,MCP Security Resources,🟡 Moyenne,oui,oui,🟤 Threat Intelligence / OSINT
msaleme/red-team-blue-team-agent-fabric,Red-Team-Blue-Team-Agent-Fabric,TRIAGE-HAUTE,triage obligatoire,28 étoiles; dernier commit 2026-08-26; licence Apache-2.0,AI Agent Security Testing,⭐ Haute,oui,oui,🟤 Threat Intelligence / OSINT
sandboxai/sandboxai,SandboxAI,N/A,non applicable,licence inconnue; repo non exploitable (404-introuvable),AI Code Execution Sandbox,🟡 Moyenne,non,non,🟤 Threat Intelligence / OSINT
kubernetes-sigs/agent-sandbox,Kubernetes Agent Sandbox,TRIAGE-MINIMAL,triage minimal,3657 étoiles; dernier commit 2026-08-27; licence Apache-2.0,AI Agent Sandbox,🟡 Moyenne,oui,oui,🟤 Threat Intelligence / OSINT
immunity-agent/immunity-agent,Immunity Agent,N/A,non applicable,licence inconnue; repo non exploitable (404-introuvable),AI Agent Runtime Security,🟡 Moyenne,non,non,🟤 Threat Intelligence / OSINT
wazuh/wazuh-dashboard,Wazuh Dashboard,TRIAGE-HAUTE,triage obligatoire,70 étoiles; dernier commit 2026-08-21; licence Apache-2.0,SIEM Dashboard,⭐ Haute,oui,oui,🟤 Threat Intelligence / OSINT
eric-dev-soft/siem-dashboard,SIEM Dashboard,TRIAGE-MINIMAL,triage minimal,1 étoiles; inactif depuis 19 mois; licence BSD,SIEM Dashboard,🟡 Moyenne,oui,oui,🟤 Threat Intelligence / OSINT
Hack-with-Github/Awesome-Hacking,Awesome Hacking,TRIAGE-HAUTE,triage obligatoire,119170 étoiles; dernier commit 2026-07-26; licence CC0-1.0,Hacking Tools List,⭐ Haute,oui,oui,🟤 Threat Intelligence / OSINT
danielmiessler/SecLists,SecLists,TRIAGE-HAUTE,triage obligatoire,73122 étoiles; dernier commit 2026-08-27; licence MIT,Security Wordlists,⭐ Haute,oui,oui,🟤 Threat Intelligence / OSINT
swisskyrepo/PayloadsAllTheThings,PayloadAllTheThings,TRIAGE-HAUTE,triage obligatoire,80428 étoiles; dernier commit 2026-08-27; licence MIT,Security Payloads,⭐ Haute,oui,oui,🟤 Threat Intelligence / OSINT
cyver-core/ultimate-pentest-tools-list,Ultimate Pentest Tools List,TRIAGE-MINIMAL,triage minimal,68 étoiles; dernier commit 2026-07-09; licence inconnue,Pentest Tools List,🟡 Moyenne,non,oui,🟤 Threat Intelligence / OSINT
arch3rpro/PentestTools,PentestTools,TRIAGE-MINIMAL,triage minimal,1765 étoiles; dernier commit 2026-04-13; licence inconnue,Pentest Tools Collection,🟡 Moyenne,non,oui,🟤 Threat Intelligence / OSINT
paulveillard/cybersecurity-tools,Cybersecurity Tools (paulveillard),TRIAGE-MINIMAL,triage minimal,25 étoiles; inactif depuis 56 mois; licence MIT,Cybersecurity Resources List,🟡 Moyenne,oui,oui,🟤 Threat Intelligence / OSINT
paulveillard/cybersecurity-SOAR,Cybersecurity SOAR,TRIAGE-MINIMAL,triage minimal,123 étoiles; inactif depuis 44 mois; licence Apache-2.0,SOAR Resources List,🟡 Moyenne,oui,oui,🟤 Threat Intelligence / OSINT
chaosync-org/awesome-ai-agent-testing,Awesome AI Agent Testing,TRIAGE-MINIMAL,triage minimal,46 étoiles; dernier commit 2025-05-28; licence CC0-1.0,AI Agent Testing Resources,🟡 Moyenne,oui,oui,🟤 Threat Intelligence / OSINT
mb-mal/awesome-ai-agents-frameworks,Awesome AI Agents Frameworks,TRIAGE-MINIMAL,triage minimal,69 étoiles; dernier commit 2026-08-27; licence inconnue,AI Agent Frameworks List,🟡 Moyenne,non,oui,🟤 Threat Intelligence / OSINT
bh-rat/awesome-mcp-enterprise,Awesome MCP Enterprise,TRIAGE-MINIMAL,triage minimal,119 étoiles; dernier commit 2026-08-15; licence inconnue,MCP Enterprise Tools List,🟡 Moyenne,non,oui,🟤 Threat Intelligence / OSINT
njmulsqb/Awesome-Security-Repos,Awesome Security Repos,TRIAGE-MINIMAL,triage minimal,57 étoiles; inactif depuis 47 mois; licence inconnue,Security Repositories List,🟡 Moyenne,non,oui,🟤 Threat Intelligence / OSINT
JambaAcademy/OSINT,OSINT (JambaAcademy),TRIAGE-MINIMAL,triage minimal,128 étoiles; dernier commit 2026-07-29; licence MIT,OSINT Resources,⚪ Faible,oui,oui,🟤 Threat Intelligence / OSINT
topics/ai-osint,AI OSINT Resources,TRIAGE-MINIMAL,triage minimal,licence inconnue,AI OSINT Resources,🟡 Moyenne,non,oui,🟤 Threat Intelligence / OSINT
raphabot/awesome-cybersecurity-agentic-ai,Cybersecurity Agentic AI,TRIAGE-HAUTE,triage obligatoire,539 étoiles; dernier commit 2026-08-26; licence MIT,AI Cybersecurity Resources,⭐ Haute,oui,oui,🟤 Threat Intelligence / OSINT
neptune1212/MCP_servers_cybersecurity,MCP Servers Cybersecurity (neptune1212),TRIAGE-HAUTE,triage obligatoire,3 étoiles; dernier commit 2025-05-31; licence inconnue,MCP Security Platform,⭐ Haute,non,oui,🟣 MCP / Tool Aggregation
MorDavid/awesome-cyber-security-mcp,Awesome Cyber Security MCP (MorDavid),TRIAGE-HAUTE,triage obligatoire,97 étoiles; dernier commit 2026-02-28; licence inconnue,Curated MCP List / Discovery,⭐ Haute (méta-ressource),non,oui,🟣 MCP / Tool Aggregation
Puliczek/awesome-mcp-security,Awesome MCP Security (Puliczek),TRIAGE-HAUTE,triage obligatoire,733 étoiles; dernier commit 2026-03-03; licence inconnue,MCP Security Knowledge Base,⭐ Haute (méta-ressource),non,oui,🟣 MCP / Tool Aggregation
xalgorix/xalgorix,Xalgorix,TRIAGE-HAUTE,triage obligatoire,932 étoiles; dernier commit 2026-08-27; licence Apache-2.0,AI Pentesting Platform,⭐ Haute,oui,oui,🟢 AI Security Agents
Threadlinee/AI-Powered,AI-Powered Autonomous Penetration Testing Agent,TRIAGE-MINIMAL,triage minimal,8 étoiles; dernier commit 2025-07-13; licence MIT,AI Pentesting Agent (RL),🟡 Moyenne,oui,oui,🟢 AI Security Agents
shannonai/shannon,Shannon,N/A,non applicable,licence inconnue; repo non exploitable (404-introuvable),AI Pentesting Agent (Web),🟡 Moyenne,non,non,🟢 AI Security Agents
anthropics/codeguard,Project CodeGuard,N/A,non applicable,licence inconnue; repo non exploitable (404-introuvable),AI Code Security Agent,🟡 Moyenne,non,non,🟢 AI Security Agents
opensoar-hq/opensoar-core,OpenSOAR,TRIAGE-MINIMAL,triage minimal,18 étoiles; dernier commit 2026-07-17; licence Apache-2.0,SOAR Platform (AI-Native Python),🟡 Moyenne,oui,oui,🟠 Security Orchestration / Automation
Admyral-Security/admyral,Admyral,TRIAGE-MINIMAL,triage minimal,340 étoiles; inactif depuis 21 mois; licence Apache-2.0,Security Hyperautomation,🟡 Moyenne,oui,oui,🟠 Security Orchestration / Automation
Sorsnce/Open-SOAR,Open-SOAR (Sorsnce),TRIAGE-MINIMAL,triage minimal,8 étoiles; inactif depuis 64 mois; licence inconnue,SOAR (Containerized),⚪ Faible,non,oui,🟠 Security Orchestration / Automation
StackStorm/st2,StackStorm,SHORTLIST,analyse approfondie,6527 étoiles; dernier commit 2026-08-22; licence Apache-2.0,Event-Driven Automation,🟡 Moyenne,oui,oui,🟠 Security Orchestration / Automation
SigmaHQ/sigma,Sigma,TRIAGE-HAUTE,triage obligatoire,10948 étoiles; dernier commit 2026-08-18; licence inconnue,Detection Rule Format,⭐ Haute,non,oui,🔵 Defensive / Blue Team
VirusTotal/yara,YARA,TRIAGE-HAUTE,triage obligatoire,9833 étoiles; dernier commit 2026-08-25; licence BSD-3-Clause,Malware Pattern Matching,⭐ Haute,oui,oui,🔵 Defensive / Blue Team
fail2ban/fail2ban,Fail2Ban,TRIAGE-MINIMAL,triage minimal,18483 étoiles; dernier commit 2026-08-26; licence inconnue,Intrusion Prevention,⚪ Faible,non,oui,🔵 Defensive / Blue Team
crowdsecurity/crowdsec,CrowdSec,TRIAGE-MINIMAL,triage minimal,14657 étoiles; dernier commit 2026-08-26; licence MIT,Collaborative IPS,🟡 Moyenne,oui,oui,🔵 Defensive / Blue Team
arkime/arkime,Arkime (anciennement Moloch),TRIAGE-MINIMAL,triage minimal,7459 étoiles; dernier commit 2026-08-26; licence Apache-2.0,Full Packet Capture,🟡 Moyenne,oui,oui,🔵 Defensive / Blue Team
mitre-attack/attack-navigator,MITRE ATT&CK Navigator,TRIAGE-MINIMAL,triage minimal,2448 étoiles; dernier commit 2026-06-12; licence Apache-2.0,Threat Framework Visualization,🟡 Moyenne,oui,oui,🟤 Threat Intelligence / OSINT
laramies/theHarvester,theHarvester,TRIAGE-MINIMAL,triage minimal,17211 étoiles; dernier commit 2026-08-27; licence inconnue,OSINT / Reconnaissance,⚪ Faible,non,oui,🟤 Threat Intelligence / OSINT
lanmaster53/recon-ng,Recon-ng,TRIAGE-MINIMAL,triage minimal,5873 étoiles; inactif depuis 22 mois; licence GPL-3.0,OSINT / Web Reconnaissance,🟡 Moyenne,oui,oui,🟤 Threat Intelligence / OSINT
achillean/shodan-python,Shodan (Python client),TRIAGE-MINIMAL,triage minimal,2951 étoiles; inactif depuis 33 mois; licence inconnue,Internet Device Search,🟡 Moyenne,non,oui,🟤 Threat Intelligence / OSINT
owasp-amass/amass,Amass (OWASP),TRIAGE-MINIMAL,triage minimal,15049 étoiles; dernier commit 2026-04-07; licence Apache,Attack Surface Mapping,🟡 Moyenne,oui,oui,🟤 Threat Intelligence / OSINT
,Maltego (CE),N/A,non applicable,licence inconnue; repo non exploitable (hors-perimetre),OSINT / Link Analysis,⚪ Faible,non,non,🟤 Threat Intelligence / OSINT
nmap/nmap,Nmap,TRIAGE-HAUTE,triage obligatoire,13469 étoiles; dernier commit 2026-08-27; licence inconnue,Network Scanner,⭐ Haute (brique fondamentale),non,oui,🔴 Offensive / Pentesting
sqlmapproject/sqlmap,SQLMap,TRIAGE-MINIMAL,triage minimal,38279 étoiles; dernier commit 2026-08-26; licence inconnue,SQL Injection Tool,🟡 Moyenne,non,oui,🔴 Offensive / Pentesting
stevenaldinger/decker,Decker,TRIAGE-MINIMAL,triage minimal,296 étoiles; inactif depuis 90 mois; licence MPL-2.0,Pentesting Orchestrator,🟡 Moyenne,oui,oui,🔴 Offensive / Pentesting
GoVanguard/legion,Legion,TRIAGE-MINIMAL,triage minimal,1057 étoiles; inactif depuis 22 mois; archivé; licence GPL-3.0,Pentesting Framework,⚪ Faible,oui,oui,🔴 Offensive / Pentesting
reconmap/reconmap,Reconmap,TRIAGE-MINIMAL,triage minimal,975 étoiles; dernier commit 2026-08-20; licence Apache-2.0,Pentesting Management Platform,🟡 Moyenne,oui,oui,🔴 Offensive / Pentesting
owtf/owtf,OWTF (OWASP),TRIAGE-MINIMAL,triage minimal,1950 étoiles; dernier commit 2026-08-22; licence BSD-3-Clause,Web Testing Framework,⚪ Faible,oui,oui,🔴 Offensive / Pentesting
1N3/Sn1per,Sn1per,TRIAGE-MINIMAL,triage minimal,11092 étoiles; dernier commit 2026-07-04; licence inconnue,Automated Pentest Recon,🟡 Moyenne,non,oui,🔴 Offensive / Pentesting
NullArray/AutoSploit,AutoSploit,TRIAGE-MINIMAL,triage minimal,5253 étoiles; inactif depuis 78 mois; licence GPL-3.0,Automated Exploitation,⚪ Faible,oui,oui,🔴 Offensive / Pentesting
,Burp Suite (Extensions),N/A,non applicable,licence inconnue; repo non exploitable (organisation-pas-un-repo),Web Security Testing,🟡 Moyenne (extensions uniquement),non,non,🔴 Offensive / Pentesting
sullo/nikto,Nikto,TRIAGE-MINIMAL,triage minimal,10688 étoiles; dernier commit 2026-08-15; licence inconnue,Web Server Scanner,⚪ Faible,non,oui,🔴 Offensive / Pentesting
OJ/gobuster,Gobuster,TRIAGE-MINIMAL,triage minimal,14043 étoiles; dernier commit 2026-01-13; licence Apache-2.0,Directory/DNS Bruteforcer,⚪ Faible,oui,oui,🔴 Offensive / Pentesting
ffuf/ffuf,ffuf,TRIAGE-MINIMAL,triage minimal,16597 étoiles; dernier commit 2026-08-20; licence MIT,Web Fuzzer,⚪ Faible,oui,oui,🔴 Offensive / Pentesting
hashcat/hashcat,Hashcat,TRIAGE-MINIMAL,triage minimal,26635 étoiles; dernier commit 2026-08-27; licence MIT,Password Recovery,⚪ Faible,oui,oui,🔴 Offensive / Pentesting
mitre/caldera,Caldera (MITRE),TRIAGE-HAUTE,triage obligatoire,7215 étoiles; dernier commit 2026-08-27; licence Apache-2.0,Adversary Emulation,⭐ Haute,oui,oui,🔴 Offensive / Pentesting
redcanaryco/atomic-red-team,Atomic Red Team,TRIAGE-MINIMAL,triage minimal,12459 étoiles; dernier commit 2026-08-24; licence MIT,TTPs Testing Library,🟡 Moyenne,oui,oui,🔴 Offensive / Pentesting
future-architect/vuls,Vuls,TRIAGE-MINIMAL,triage minimal,12244 étoiles; dernier commit 2026-08-27; licence GPL-3.0,Vulnerability Scanner (Agentless),🟡 Moyenne,oui,oui,🟡 Vulnerability Management
greenbone/openvas-scanner,GVM / OpenVAS,TRIAGE-HAUTE,triage obligatoire,4797 étoiles; dernier commit 2026-08-26; licence GPL-2.0,Vulnerability Scanner,⭐ Haute,oui,oui,🟡 Vulnerability Management
google/osv.dev,OSV (Google),TRIAGE-MINIMAL,triage minimal,2902 étoiles; dernier commit 2026-08-27; licence Apache-2.0,Vulnerability Database,🟡 Moyenne,oui,oui,🟡 Vulnerability Management
aquasecurity/kube-bench,kube-bench (Aqua Security),TRIAGE-MINIMAL,triage minimal,8157 étoiles; dernier commit 2026-08-18; licence Apache-2.0,Kubernetes CIS Benchmark,🟡 Moyenne,oui,oui,🟡 Vulnerability Management
aquasecurity/kube-hunter,kube-hunter (Aqua Security),TRIAGE-MINIMAL,triage minimal,5080 étoiles; inactif depuis 30 mois; licence Apache-2.0,Kubernetes Penetration Testing,🟡 Moyenne,oui,oui,🟡 Vulnerability Management
kubescape/kubescape,Kubescape (ARMO),TRIAGE-HAUTE,triage obligatoire,11693 étoiles; dernier commit 2026-08-27; licence Apache-2.0,Kubernetes Security Platform,⭐ Haute,oui,oui,🟡 Vulnerability Management
aquasecurity/cloudsploit,CloudSploit (Aqua),TRIAGE-MINIMAL,triage minimal,3768 étoiles; dernier commit 2026-07-28; licence GPL-3.0,Cloud Security Audit,🟡 Moyenne,oui,oui,🟡 Vulnerability Management
turbot/steampipe,Steampipe,TRIAGE-HAUTE,triage obligatoire,7935 étoiles; dernier commit 2026-08-18; licence AGPL-3.0,Cloud Query Engine,⭐ Haute,oui,oui,🟡 Vulnerability Management
lyft/cartography,Cartography (Lyft),TRIAGE-MINIMAL,triage minimal,4028 étoiles; dernier commit 2026-08-26; licence Apache-2.0,Infrastructure Graph,🟡 Moyenne,oui,oui,🟡 Vulnerability Management
SonarSource/sonarqube,SonarQube (Community),TRIAGE-MINIMAL,triage minimal,10932 étoiles; dernier commit 2026-08-26; licence LGPL-3.0,Code Quality & Security,🟡 Moyenne,oui,oui,🟡 Vulnerability Management
PyCQA/bandit,Bandit,TRIAGE-MINIMAL,triage minimal,8242 étoiles; dernier commit 2026-08-04; licence Apache-2.0,Python SAST,⚪ Faible,oui,oui,🟡 Vulnerability Management
Bearer/bearer,Bearer,TRIAGE-MINIMAL,triage minimal,2739 étoiles; dernier commit 2026-08-24; licence inconnue,SAST / Data Flow Security,⚪ Faible,non,oui,🟡 Vulnerability Management
anchore/grype,Grype (Anchore),TRIAGE-MINIMAL,triage minimal,12791 étoiles; dernier commit 2026-08-27; licence Apache-2.0,Vulnerability Scanner (Container/SBOM),🟡 Moyenne,oui,oui,🟡 Vulnerability Management
anchore/syft,Syft (Anchore),TRIAGE-MINIMAL,triage minimal,9465 étoiles; dernier commit 2026-08-27; licence Apache-2.0,SBOM Generator,🟡 Moyenne,oui,oui,🟡 Vulnerability Management
dfir-iris/iris-web,DFIR-IRIS,TRIAGE-HAUTE,triage obligatoire,1549 étoiles; dernier commit 2025-02-27; licence LGPL-3.0,Incident Response Platform,⭐ Haute,oui,oui,🟡 Vulnerability Management
google/grr,GRR Rapid Response (Google),TRIAGE-MINIMAL,triage minimal,5088 étoiles; dernier commit 2026-05-12; licence Apache-2.0,Remote Live Forensics,🟡 Moyenne,oui,oui,🟡 Vulnerability Management
volatilityfoundation/volatility3,Volatility,TRIAGE-MINIMAL,triage minimal,4357 étoiles; dernier commit 2026-08-19; licence inconnue,Memory Forensics,🟡 Moyenne,non,oui,🟡 Vulnerability Management
VirusTotal/yara-x,YARA-X,TRIAGE-MINIMAL,triage minimal,1261 étoiles; dernier commit 2026-08-27; licence BSD-3-Clause,Malware Pattern Matching (Next Gen),🟡 Moyenne,oui,oui,🟡 Vulnerability Management
NationalSecurityAgency/ghidra,Ghidra (NSA),TRIAGE-MINIMAL,triage minimal,72949 étoiles; dernier commit 2026-08-25; licence Apache-2.0,Reverse Engineering,🟡 Moyenne,oui,oui,🟡 Vulnerability Management
radareorg/radare2,Radare2,TRIAGE-MINIMAL,triage minimal,24658 étoiles; dernier commit 2026-08-27; licence inconnue,Reverse Engineering,⚪ Faible,non,oui,🟡 Vulnerability Management
grafana/grafana,Grafana,TRIAGE-MINIMAL,triage minimal,76451 étoiles; dernier commit 2026-08-27; licence AGPL-3.0,Observability Dashboard,🟡 Moyenne (infrastructure),oui,oui,🟡 Vulnerability Management
opensearch-project/OpenSearch-Dashboards,Kibana / OpenSearch Dashboards,TRIAGE-MINIMAL,triage minimal,2115 étoiles; dernier commit 2026-08-27; licence Apache-2.0,Log Analysis Dashboard,🟡 Moyenne (infrastructure),oui,oui,🟡 Vulnerability Management
,SOC Prime / Agentic SOC Platforms,N/A,non applicable,licence inconnue; repo non exploitable (hors-perimetre),AI-Powered SOC Platform,⭐ Haute,non,non,🟡 Vulnerability Management
malwarekid/SOAR-Flow,SOAR-Flow,TRIAGE-MINIMAL,triage minimal,138 étoiles; inactif depuis 18 mois; licence MIT,SOC Reference Architecture,🟡 Moyenne (architecture de référence),oui,oui,🟡 Vulnerability Management
modelcontextprotocol/modelcontextprotocol,MCP Protocol (Anthropic),TRIAGE-HAUTE,triage obligatoire,9066 étoiles; dernier commit 2026-08-26; licence MIT,Protocol / Standard,⭐ Haute (fondation),oui,oui,🟡 Vulnerability Management
jlowin/fastmcp,FastMCP,SHORTLIST,analyse approfondie,27406 étoiles; dernier commit 2026-08-27; licence Apache-2.0,MCP Framework,⭐ Haute (infrastructure),oui,oui,🟡 Vulnerability Management
pomerium/pomerium,Pomerium,TRIAGE-MINIMAL,triage minimal,4979 étoiles; dernier commit 2026-08-25; licence Apache-2.0,Identity-Aware Proxy,🟡 Moyenne,oui,oui,🟡 Vulnerability Management
langchain-ai/langchain,LangChain,TRIAGE-HAUTE,triage obligatoire,145131 étoiles; dernier commit 2026-08-27; licence MIT,AI Orchestration Framework,⭐ Haute (infrastructure IA),oui,oui,🟡 Vulnerability Management
openai/openai-agents-python,OpenAI Agents SDK,TRIAGE-MINIMAL,triage minimal,29010 étoiles; dernier commit 2026-08-27; licence MIT,AI Agent Framework,🟡 Moyenne,oui,oui,🟡 Vulnerability Management
temporalio/temporal,Temporal,SHORTLIST,analyse approfondie,22564 étoiles; dernier commit 2026-08-27; licence MIT,Workflow Engine,🟡 Moyenne (infrastructure),oui,oui,🟡 Vulnerability Management
PrefectHQ/prefect,Prefect,TRIAGE-MINIMAL,triage minimal,23698 étoiles; dernier commit 2026-08-27; licence Apache-2.0,Workflow Orchestration,⚪ Faible (infrastructure),oui,oui,🟡 Vulnerability Management
moby/moby,Docker / Podman,TRIAGE-HAUTE,triage obligatoire,72001 étoiles; dernier commit 2026-08-27; licence Apache-2.0,Container Runtime,⭐ Haute (infrastructure fondamentale),oui,oui,🟡 Vulnerability Management
google/gvisor,gVisor (Google),SHORTLIST,analyse approfondie,19171 étoiles; dernier commit 2026-08-27; licence Apache-2.0,Container Sandbox,🟡 Moyenne,oui,oui,🟡 Vulnerability Management
kata-containers/kata-containers,Kata Containers,TRIAGE-MINIMAL,triage minimal,8612 étoiles; dernier commit 2026-08-27; licence Apache-2.0,Secure Container Runtime,🟡 Moyenne,oui,oui,🟡 Vulnerability Management
kyverno/kyverno,Kyverno,TRIAGE-MINIMAL,triage minimal,8076 étoiles; dernier commit 2026-08-27; licence Apache-2.0,Kubernetes Policy Engine,🟡 Moyenne,oui,oui,🟡 Vulnerability Management
hashicorp/vault,HashiCorp Vault,TRIAGE-HAUTE,triage obligatoire,36180 étoiles; dernier commit 2026-08-27; licence inconnue,Secrets Management,⭐ Haute (infrastructure),non,oui,🟡 Vulnerability Management
keycloak/keycloak,Keycloak,TRIAGE-MINIMAL,triage minimal,36450 étoiles; dernier commit 2026-08-27; licence Apache-2.0,Identity & Access Management,🟡 Moyenne (infrastructure),oui,oui,🟡 Vulnerability Management
enaqx/awesome-pentest,Awesome Pentest,TRIAGE-HAUTE,triage obligatoire,27027 étoiles; dernier commit 2026-07-25; licence inconnue,Curated List,⭐ Haute (méta-ressource),non,oui,🟡 Vulnerability Management
,Awesome Cybersecurity Agentic AI,N/A,non applicable,licence inconnue; repo non exploitable (hors-perimetre),Curated List (AI Agents),⭐ Haute (méta-ressource ciblée),non,non,🟡 Vulnerability Management
cyberguideme/Tools,Cyber Security Tools List (cyberguideme),TRIAGE-MINIMAL,triage minimal,436 étoiles; inactif depuis 91 mois; licence GPL-3.0,Curated List,🟡 Moyenne (méta-ressource),oui,oui,🟡 Vulnerability Management
